Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,movie_name
2014,196,124.0,8.1,316.0,214.0,453.0,162.0,57.0,46547,165520,Kis Uykusu
2014,153,95.0,8.1,342.0,0.0,45.0,623.0,83.0,163061,10616104,PK
2012,125,93.0,8.1,446.0,405.0,5.0,487.0,476.0,51739,923221,OMG: Oh My God!
2014,99,36.0,8.1,455.0,427.0,186.0,458.0,3.0,707630,59100318,The Grand Budapest Hotel
2014,149,153.0,8.1,86.0,47.0,567.0,506.0,738.0,859695,167767189,Gone Girl
2016,139,80.0,8.1,284.0,26.0,582.0,429.0,713.0,435928,67209615,Hacksaw Ridge
2015,95,61.0,8.1,332.0,453.0,24.0,64.0,449.0,616228,356461711,Inside Out
2012,151,96.0,8.1,33.0,429.0,529.0,266.0,669.0,75721,2804874,Barfi!
2013,134,80.0,8.1,406.0,99.0,462.0,474.0,87.0,640533,56671993,12 Years a Slave
2013,123,14.0,8.1,374.0,123.0,100.0,521.0,20.0,432811,26947624,Rush
2019,152,14.0,8.1,179.0,365.0,104.0,345.0,104.0,291289,117624028,Ford v Ferrari
2015,129,77.0,8.1,435.0,356.0,461.0,555.0,452.0,420316,45055776,Spotlight
2014,93,62.0,8.1,438.0,134.0,73.0,421.0,221.0,51679,857524,Song of the Sea
2012,122,179.0,8.1,410.0,532.0,508.0,267.0,558.0,57806,1035953,Kahaani
2011,155,91.0,8.1,471.0,225.0,187.0,2.0,410.0,67927,3108485,Zindagi Na Milegi Dobara
2013,153,116.0,8.1,96.0,226.0,269.0,714.0,519.0,601149,61002302,Prisoners
2015,120,9.0,8.1,140.0,517.0,93.0,508.0,780.0,882316,154058340,Mad Max: Fury Road
2008,116,124.0,8.1,73.0,115.0,58.0,117.0,7.0,720450,148095302,Gran Torino
2011,130,43.0,8.1,93.0,127.0,171.0,606.0,525.0,764493,381011219,Harry Potter and the Deathly Hallows: Part 2
2008,130,146.0,8.1,468.0,363.0,576.0,696.0,413.0,48582,1498210,Okuribito
2010,98,57.0,8.1,95.0,107.0,289.0,226.0,131.0,666773,217581231,How to Train Your Dragon
2007,148,35.0,8.1,387.0,164.0,670.0,98.0,479.0,572921,18354356,Into the Wild
2007,122,119.0,8.1,110.0,276.0,657.0,297.0,378.0,856916,74283625,No Country for Old Men
2006,144,96.0,8.1,342.0,472.0,48.0,709.0,83.0,43137,2217561,Lage Raho Munna Bhai
2004,132,161.0,8.1,73.0,222.0,116.0,494.0,323.0,635975,100492203,Million Dollar Baby
2004,121,80.0,8.1,423.0,145.0,616.0,322.0,770.0,334320,23530892,Hotel Rwanda
2004,140,28.0,8.1,185.0,250.0,688.0,192.0,281.0,37820,1111061,Taegukgi hwinalrimyeo
2004,80,155.0,8.1,353.0,174.0,352.0,706.0,466.0,236311,5820649,Before Sunset
2003,131,116.0,8.1,47.0,301.0,380.0,595.0,301.0,139558,14131,Salinui chueok
2001,183,96.0,8.1,114.0,0.0,578.0,7.0,603.0,66803,300000,Dil Chahta Hai
2003,111,20.0,8.1,341.0,527.0,126.0,149.0,527.0,1000639,70099045,Kill Bill: Vol. 1
2003,100,61.0,8.1,24.0,328.0,10.0,186.0,19.0,949565,380843261,Finding Nemo
2002,141,77.0,8.1,408.0,330.0,652.0,121.0,499.0,832846,164615351,Catch Me If You Can
2000,154,162.0,8.1,10.0,165.0,204.0,235.0,781.0,223741,5383834,Amores perros
2001,92,61.0,8.1,332.0,135.0,396.0,70.0,356.0,815505,289916256,"Monsters, Inc."
2001,224,45.0,8.1,36.0,0.0,534.0,237.0,607.0,105036,70147,Lagaan: Once Upon a Time in India
1999,107,153.0,8.1,262.0,79.0,232.0,692.0,574.0,911573,293506292,The Sixth Sense
1998,169,149.0,8.1,146.0,511.0,530.0,495.0,75.0,59020,259127,La leggenda del pianista sull'oceano
1998,103,91.0,8.1,337.0,269.0,152.0,402.0,568.0,939631,125618201,The Truman Show
1998,127,89.0,8.1,107.0,43.0,617.0,80.0,223.0,50862,348660,"Crna macka, beli macor"
1998,117,90.0,8.1,201.0,173.0,297.0,334.0,392.0,732620,17498804,The Big Lebowski
2000,98,155.0,8.1,236.0,520.0,419.0,552.0,737.0,124383,2734044,Fa yeung nin wah
1996,93,124.0,8.1,82.0,175.0,185.0,349.0,423.0,634716,16501785,Trainspotting
1996,98,119.0,8.1,201.0,173.0,685.0,206.0,698.0,617444,24611975,Fargo
1995,170,98.0,8.1,107.0,422.0,392.0,486.0,685.0,55220,171082,Underground
1995,98,110.0,8.1,278.0,535.0,248.0,627.0,0.0,150345,309811,La haine
1995,101,155.0,8.1,353.0,174.0,352.0,24.0,259.0,272291,5535405,Before Sunrise
1994,99,151.0,8.1,249.0,234.0,295.0,215.0,328.0,90729,4043686,Trois couleurs: Rouge
1994,102,88.0,8.1,236.0,74.0,631.0,693.0,219.0,63122,600200,Chung Hing sam lam
1993,127,9.0,8.1,408.0,463.0,385.0,304.0,623.0,867615,402453882,Jurassic Park
1993,133,77.0,8.1,198.0,125.0,525.0,15.0,597.0,156842,25010410,In the Name of the Father
1993,171,149.0,8.1,235.0,331.0,191.0,234.0,772.0,25088,5216888,Ba wang bie ji
1991,125,139.0,8.1,466.0,207.0,316.0,615.0,146.0,29662,2603061,Dà hóng denglong gaogao guà
1989,128,91.0,8.1,337.0,445.0,555.0,191.0,379.0,425457,95860116,Dead Poets Society
1986,89,42.0,8.1,357.0,539.0,549.0,130.0,339.0,363401,52287414,Stand by Me
1986,120,165.0,8.1,318.0,95.0,650.0,722.0,416.0,381222,138530565,Platoon
1984,145,124.0,8.1,458.0,217.0,487.0,158.0,54.0,91188,2181987,"Paris, Texas"
1984,117,64.0,8.1,158.0,493.0,423.0,255.0,252.0,150924,495770,Kaze no tani no Naushika
1982,109,173.0,8.1,206.0,318.0,681.0,385.0,629.0,371271,13782838,The Thing
1982,95,129.0,8.1,8.0,60.0,108.0,282.0,195.0,76081,22244207,Pink Floyd: The Wall
1982,188,124.0,8.1,164.0,52.0,524.0,398.0,103.0,57784,4971340,Fanny och Alexander
1982,117,32.0,8.1,355.0,216.0,573.0,635.0,192.0,693827,32868943,Blade Runner
1979,94,86.0,8.1,425.0,208.0,328.0,476.0,715.0,367250,20045115,Life of Brian
1978,183,165.0,8.1,287.0,441.0,113.0,330.0,367.0,311361,48979328,The Deer Hunter
1976,120,161.0,8.1,208.0,496.0,633.0,87.0,108.0,518546,117235247,Rocky
1975,107,78.0,8.1,19.0,349.0,192.0,265.0,572.0,40081,177345,Zerkalo
1974,130,153.0,8.1,372.0,239.0,189.0,338.0,591.0,294230,29000000,Chinatown
1973,102,88.0,8.1,333.0,459.0,636.0,431.0,358.0,42285,30933743,Paper Moon
1972,91,124.0,8.1,164.0,215.0,407.0,374.0,286.0,30206,1742348,Viskningar och rop
1967,105,116.0,8.1,191.0,10.0,201.0,502.0,116.0,45434,39481,Le samouraï
1967,127,110.0,8.1,409.0,407.0,219.0,659.0,291.0,161984,16217773,Cool Hand Luke
1966,205,80.0,8.1,19.0,23.0,259.0,512.0,566.0,46947,102021,Andrei Rublev
1966,121,165.0,8.1,145.0,69.0,291.0,726.0,661.0,53089,55908,La battaglia di Algeri
1962,134,145.0,8.1,358.0,53.0,318.0,707.0,758.0,50058,4050000,What Ever Happened to Baby Jane?
1960,89,124.0,8.1,164.0,369.0,66.0,242.0,79.0,26697,1526000,Jungfrukällan
1959,212,44.0,8.1,457.0,97.0,262.0,654.0,267.0,219466,74700000,Ben-Hur
1957,110,124.0,8.1,116.0,204.0,201.0,205.0,183.0,42940,752045,Le notti di Cabiria
1957,161,49.0,8.1,87.0,542.0,12.0,272.0,675.0,203463,44908000,The Bridge on the River Kwai
1954,108,119.0,8.1,106.0,358.0,360.0,408.0,635.0,142107,9600000,On the Waterfront
1951,111,133.0,8.1,42.0,316.0,279.0,580.0,601.0,31568,3969893,Ace in the Hole
1949,104,171.0,8.1,60.0,402.0,343.0,14.0,736.0,158731,449191,The Third Man
1948,135,149.0,8.1,291.0,163.0,43.0,445.0,544.0,30935,10900000,The Red Shoes
1940,99,96.0,8.1,109.0,348.0,275.0,210.0,377.0,28450,203300,The Shop Around the Corner
1940,130,151.0,8.1,17.0,324.0,319.0,224.0,383.0,123942,4360000,Rebecca
1939,129,91.0,8.1,123.0,245.0,290.0,125.0,189.0,107017,9600000,Mr. Smith Goes to Washington
1939,238,139.0,8.1,447.0,200.0,581.0,124.0,749.0,290074,198676459,Gone with the Wind
1937,113,165.0,8.1,186.0,260.0,142.0,551.0,217.0,33829,172885,La Grande Illusion
1934,105,108.0,8.1,123.0,113.0,115.0,716.0,641.0,94016,4360000,It Happened One Night
